org_a,locus_a,org_b,locus_b,identity
ccrescentus,CCNA_01925,mtuberculosis,Rv0147,0.387
abaylyi,ACIAD0503,mtuberculosis,Rv0147,0.356
mgenitalium,MG_476,mpne,MPN242,0.88
mgenitalium,MG_136,mpne,MPN277,0.742
mgenitalium,MG_136,saureus,lysS,0.454
mgenitalium,MG_136,styphimurium,lysS,0.42
abaylyi,ACIAD1069,mgenitalium,MG_136,0.424
mgenitalium,MG_136,mtuberculosis,Rv3598c,0.368
ccrescentus,CCNA_00757,mgenitalium,MG_136,0.303
mgenitalium,MG_260,mpne,MPN284,0.514
saureus,SA0666,styphimurium,ptpS,0.36
ccrescentus,CCNA_03260,styphimurium,ptpS,0.396
ccrescentus,CCNA_01559,styphimurium,kduD,0.624
abaylyi,ACIAD3295,styphimurium,mdaB,0.746
saureus,SA1271,styphimurium,tdcB,0.542
ccrescentus,CCNA_03750,styphimurium,tdcB,0.4
abaylyi,ACIAD3243,styphimurium,yrbE,0.57
ccrescentus,CCNA_03809,styphimurium,yrbE,0.355
abaylyi,ACIAD2072,saureus,sodA,0.55
abaylyi,ACIAD2072,styphimurium,sodA,0.575
abaylyi,ACIAD2377,mtuberculosis,Rv3300c,0.436
mgenitalium,MG_076,mpne,MPN214,0.601
mgenitalium,MG_140,mpne,MPN153,0.786
mgenitalium,MG_421,mpne,MPN619,0.851
mgenitalium,MG_421,syn3a,JCVISYN3A_0824,0.554
mgenitalium,MG_421,saureus,uvrA,0.558
ccrescentus,CCNA_02673,mgenitalium,MG_421,0.508
mgenitalium,MG_421,styphimurium,uvrA,0.502
abaylyi,ACIAD3455,mgenitalium,MG_421,0.503
mgenitalium,MG_421,mtuberculosis,Rv1638,0.49
abaylyi,ACIAD1978,styphimurium,STM3021,0.354
abaylyi,ACIAD0274,styphimurium,icc,0.355
mtuberculosis,Rv0805,styphimurium,icc,0.308
abaylyi,ACIAD1348,styphimurium,degQ,0.441
abaylyi,ACIAD1375,styphimurium,cdsA,0.39
abaylyi,ACIAD1375,ccrescentus,CCNA_01995,0.361
mgenitalium,MG_315,mpne,MPN450,0.472
mgenitalium,MG_343,mpne,MPN518,0.527
saureus,SA1386,syn3a,JCVISYN3A_0109,0.452
mpne,MPN328,syn3a,JCVISYN3A_0109,0.42
mgenitalium,MG_235,syn3a,JCVISYN3A_0109,0.395
saureus,relA,syn3a,JCVISYN3A_0414,0.362
mtuberculosis,Rv2583c,syn3a,JCVISYN3A_0414,0.346
styphimurium,spoT,syn3a,JCVISYN3A_0414,0.337
ccrescentus,CCNA_01622,syn3a,JCVISYN3A_0414,0.306
mpne,MPN397,syn3a,JCVISYN3A_0414,0.327
mgenitalium,MG_278,syn3a,JCVISYN3A_0414,0.317
abaylyi,ACIAD1222,styphimurium,ymfB,0.37
abaylyi,ACIAD3047,styphimurium,rpmI,0.562
saureus,rpmI,styphimurium,rpmI,0.484
mtuberculosis,Rv1642,styphimurium,rpmI,0.419
abaylyi,ACIAD1890,styphimurium,fumC,0.615
saureus,citG,styphimurium,fumC,0.588
ccrescentus,CCNA_02194,styphimurium,fumC,0.564
mtuberculosis,Rv1098c,styphimurium,fumC,0.511
ccrescentus,CCNA_03306,mtuberculosis,Rv0682,0.756
abaylyi,ACIAD0881,mtuberculosis,Rv0682,0.707
mtuberculosis,Rv0682,styphimurium,rpsL,0.699
mtuberculosis,Rv0682,syn3a,JCVISYN3A_0148,0.647
mpne,MPN225,mtuberculosis,Rv0682,0.625
mgenitalium,MG_087,mtuberculosis,Rv0682,0.625
ccrescentus,CCNA_00018,mtuberculosis,Rv0869c,0.398
abaylyi,ACIAD1906,mtuberculosis,Rv0869c,0.339
mtuberculosis,Rv0869c,styphimurium,moaA,0.36
ccrescentus,CCNA_02149,mtuberculosis,Rv2682c,0.407
mtuberculosis,Rv2682c,styphimurium,dxs,0.402
abaylyi,ACIAD3247,mtuberculosis,Rv2682c,0.373
abaylyi,ACIAD0505,mtuberculosis,Rv2964,0.515
ccrescentus,CCNA_03745,mtuberculosis,Rv2964,0.478
mtuberculosis,Rv2964,styphimurium,purU,0.409
abaylyi,ACIAD0264,saureus,dhoM,0.409
ccrescentus,CCNA_01447,saureus,dhoM,0.384
saureus,comEB,syn3a,JCVISYN3A_0515,0.346
saureus,citC,styphimurium,icdA,0.624
abaylyi,ACIAD1190,saureus,citC,0.624
abaylyi,ACIAD0822,saureus,SA1715,0.487
ccrescentus,CCNA_02518,saureus,SA1715,0.457
saureus,SA1715,syn3a,JCVISYN3A_0687,0.45
mtuberculosis,Rv3009c,saureus,SA1715,0.422
mpne,MPN238,saureus,SA1715,0.383
mgenitalium,MG_100,saureus,SA1715,0.364
mtuberculosis,Rv0714,saureus,rplN,0.754
mtuberculosis,Rv0714,styphimurium,rplN,0.666
ccrescentus,CCNA_01316,mtuberculosis,Rv0714,0.639
mtuberculosis,Rv0714,syn3a,JCVISYN3A_0661,0.647
abaylyi,ACIAD3209,mtuberculosis,Rv0714,0.663
mpne,MPN175,mtuberculosis,Rv0714,0.598
mgenitalium,MG_161,mtuberculosis,Rv0714,0.598
abaylyi,ACIAD1651,styphimurium,kgtP,0.534
ccrescentus,CCNA_01071,styphimurium,kgtP,0.46
mtuberculosis,Rv3476c,styphimurium,kgtP,0.413
abaylyi,ACIAD1385,styphimurium,recA,0.733
ccrescentus,CCNA_01141,styphimurium,recA,0.678
saureus,recA,styphimurium,recA,0.628
mgenitalium,MG_339,styphimurium,recA,0.473
mpne,MPN490,styphimurium,recA,0.441
mgenitalium,MG_122,syn3a,JCVISYN3A_0859,0.329
mpne,MPN261,syn3a,JCVISYN3A_0859,0.317
saureus,SA1093,syn3a,JCVISYN3A_0859,0.303
ccrescentus,CCNA_02535,syn3a,JCVISYN3A_0859,0.315
abaylyi,ACIAD3219,ccrescentus,CCNA_01306,0.5
ccrescentus,CCNA_01306,styphimurium,rplC,0.49
ccrescentus,CCNA_01306,mtuberculosis,Rv0701,0.452
ccrescentus,CCNA_01306,saureus,rplC,0.427
ccrescentus,CCNA_01306,syn3a,JCVISYN3A_0671,0.386
ccrescentus,CCNA_01306,mgenitalium,MG_151,0.355
ccrescentus,CCNA_01306,mpne,MPN165,0.355
abaylyi,ACIAD3269,ccrescentus,CCNA_01404,0.344
ccrescentus,CCNA_01404,styphimurium,glyS,0.36
mgenitalium,MG_461,mpne,MPN677,0.75
mgenitalium,MG_461,syn3a,JCVISYN3A_0127,0.311
abaylyi,ACIAD2264,styphimurium,mltB,0.396
ccrescentus,CCNA_03529,mtuberculosis,Rv3232c,0.491
ccrescentus,CCNA_00647,saureus,SA0166,0.394
saureus,SA1433,styphimurium,ybgL,0.441
abaylyi,ACIAD2520,styphimurium,ybgL,0.449
mgenitalium,MG_176,mpne,MPN190,0.876
ccrescentus,CCNA_01329,mpne,MPN190,0.478
mpne,MPN190,syn3a,JCVISYN3A_0646,0.537
mpne,MPN190,saureus,rpsK,0.47
mpne,MPN190,mtuberculosis,Rv3459c,0.512
mpne,MPN190,styphimurium,rpsK,0.487
abaylyi,ACIAD3196,mpne,MPN190,0.462
mgenitalium,MG_115,mpne,MPN254,0.528
mpne,MPN254,styphimurium,ygaD,0.407
mgenitalium,MG_350,mpne,MPN526,0.474
ccrescentus,CCNA_00159,styphimurium,gyrB,0.559
abaylyi,ACIAD0004,ccrescentus,CCNA_00159,0.531
ccrescentus,CCNA_00159,saureus,gyrB,0.435
ccrescentus,CCNA_00159,mgenitalium,MG_203,0.413
ccrescentus,CCNA_00159,mpne,MPN122,0.405
ccrescentus,CCNA_02380,mtuberculosis,Rv3601c,0.571
mtuberculosis,Rv3601c,styphimurium,panD,0.495
mtuberculosis,Rv3601c,saureus,panD,0.474
abaylyi,ACIAD2911,mtuberculosis,Rv3601c,0.464
mtuberculosis,Rv1657,styphimurium,argR,0.3
saureus,ahrC,styphimurium,argR,0.322
abaylyi,ACIAD3209,styphimurium,rplN,0.821
ccrescentus,CCNA_01316,styphimurium,rplN,0.739
saureus,rplN,styphimurium,rplN,0.674
mpne,MPN175,styphimurium,rplN,0.56
mgenitalium,MG_161,styphimurium,rplN,0.552
styphimurium,rplN,syn3a,JCVISYN3A_0661,0.52
abaylyi,ACIAD0116,styphimurium,dadX,0.519
abaylyi,ACIAD0370,styphimurium,rbfA,0.356
abaylyi,ACIAD0370,saureus,rbfA,0.37
abaylyi,ACIAD0370,mtuberculosis,Rv2838c,0.375
abaylyi,ACIAD0444,ccrescentus,CCNA_02397,0.376
abaylyi,ACIAD0444,styphimurium,STM0410,0.325
abaylyi,ACIAD0323,styphimurium,yjiE,0.406
mgenitalium,MG_382,mpne,MPN561,0.742
mpne,MPN561,styphimurium,udk,0.372
mpne,MPN561,saureus,udk,0.391
abaylyi,ACIAD1287,styphimurium,astD,0.645
abaylyi,ACIAD1287,ccrescentus,CCNA_00618,0.54
abaylyi,ACIAD1287,mtuberculosis,Rv3293,0.318
abaylyi,ACIAD1529,ccrescentus,CCNA_02421,0.349
abaylyi,ACIAD1529,styphimurium,exbB,0.331
abaylyi,ACIAD1605,ccrescentus,CCNA_01416,0.428
abaylyi,ACIAD1605,mtuberculosis,Rv0751c,0.384
mgenitalium,MG_324,mpne,MPN470,0.785
mpne,MPN470,syn3a,JCVISYN3A_0305,0.39
mpne,MPN470,saureus,SA1360,0.35
mpne,MPN470,mtuberculosis,Rv2089c,0.358
mgenitalium,MG_428,mpne,MPN626,0.674
saureus,SA1078,syn3a,JCVISYN3A_0429,0.44
mgenitalium,MG_297,syn3a,JCVISYN3A_0429,0.437
mpne,MPN425,syn3a,JCVISYN3A_0429,0.423
styphimurium,ftsY,syn3a,JCVISYN3A_0429,0.416
ccrescentus,CCNA_03793,syn3a,JCVISYN3A_0429,0.385
mtuberculosis,Rv2921c,syn3a,JCVISYN3A_0429,0.378
mgenitalium,MG_085,syn3a,JCVISYN3A_0821,0.343
mpne,MPN223,syn3a,JCVISYN3A_0821,0.31
saureus,hprK,syn3a,JCVISYN3A_0821,0.32
ccrescentus,CCNA_01254,mtuberculosis,Rv3100c,0.521
abaylyi,ACIAD2894,ccrescentus,CCNA_01254,0.554
ccrescentus,CCNA_01254,styphimurium,smpB,0.51
ccrescentus,CCNA_01254,saureus,ssrP,0.524
ccrescentus,CCNA_01254,syn3a,JCVISYN3A_0776,0.423
ccrescentus,CCNA_01254,mgenitalium,MG_059,0.382
ccrescentus,CCNA_01254,mpne,MPN_074,0.35
ccrescentus,CCNA_01285,mgenitalium,MG_020,0.341
ccrescentus,CCNA_01448,mtuberculosis,Rv1099c,0.501
ccrescentus,CCNA_01448,styphimurium,glpX,0.473
ccrescentus,CCNA_01548,styphimurium,hcaT,0.301
ccrescentus,CCNA_01680,styphimurium,astB,0.497
abaylyi,ACIAD1288,ccrescentus,CCNA_01680,0.475
mgenitalium,MG_061,mpne,MPN076,0.625
mgenitalium,MG_250,mpne,MPN353,0.461
abaylyi,ACIAD0663,ccrescentus,CCNA_02431,0.48
abaylyi,ACIAD0663,saureus,SA2470,0.409
abaylyi,ACIAD0663,styphimurium,hisD,0.397
abaylyi,ACIAD0663,mtuberculosis,Rv1599,0.391
abaylyi,ACIAD0909,styphimurium,smpA,0.412
abaylyi,ACIAD1984,styphimurium,mgtA,0.61
abaylyi,ACIAD1984,syn3a,JCVISYN3A_0787,0.4
abaylyi,ACIAD2873,styphimurium,sucC,0.639
abaylyi,ACIAD2873,saureus,sucC,0.516
abaylyi,ACIAD2873,ccrescentus,CCNA_00340,0.537
abaylyi,ACIAD2873,mtuberculosis,Rv0951,0.396
abaylyi,ACIAD3205,styphimurium,rpsH,0.648
abaylyi,ACIAD3205,syn3a,JCVISYN3A_0657,0.523
abaylyi,ACIAD3205,saureus,rpsH,0.48
abaylyi,ACIAD3205,mpne,GT9_orf142,0.496
abaylyi,ACIAD3205,mgenitalium,MG_165,0.472
abaylyi,ACIAD3205,ccrescentus,CCNA_01320,0.453
abaylyi,ACIAD3205,mtuberculosis,Rv0718,0.473
ccrescentus,CCNA_03124,mtuberculosis,Rv3086,0.368
ccrescentus,CCNA_03476,styphimurium,rnhA,0.649
mpne,MPN379,saureus,SA1273,0.318
mgenitalium,MG_262,saureus,SA1273,0.315
saureus,SA1273,syn3a,JCVISYN3A_0097,0.3
mtuberculosis,Rv2090,saureus,SA1273,0.3
mpne,MPN663,saureus,SA1563,0.358
mtuberculosis,Rv2234,saureus,SA1697,0.322
abaylyi,ACIAD0263,saureus,thrC,0.516
abaylyi,ACIAD0263,mtuberculosis,Rv1295,0.548
abaylyi,ACIAD0493,styphimurium,topA,0.634
abaylyi,ACIAD0493,saureus,SA1093,0.395
abaylyi,ACIAD0493,ccrescentus,CCNA_02535,0.398
abaylyi,ACIAD0493,mtuberculosis,Rv3646c,0.401
abaylyi,ACIAD0493,mgenitalium,MG_122,0.316
abaylyi,ACIAD0493,mpne,MPN261,0.32
abaylyi,ACIAD0875,ccrescentus,CCNA_03331,0.375
abaylyi,ACIAD0875,mtuberculosis,Rv0422c,0.337
abaylyi,ACIAD0875,saureus,thiD,0.322
abaylyi,ACIAD3571,saureus,ribH,0.613
abaylyi,ACIAD3571,styphimurium,ribH,0.606
abaylyi,ACIAD3571,ccrescentus,CCNA_00932,0.414
abaylyi,ACIAD3571,mtuberculosis,Rv1416,0.437
mgenitalium,MG_032,mpne,MPN036,0.524
mgenitalium,MG_124,mpne,A65_orf102,0.707
mpne,A65_orf102,mtuberculosis,Rv3914,0.377
ccrescentus,CCNA_03653,mpne,A65_orf102,0.362
mpne,A65_orf102,saureus,trxA,0.375
abaylyi,ACIAD3140,mpne,A65_orf102,0.395
mpne,A65_orf102,styphimurium,trxC,0.423
mpne,A65_orf102,syn3a,JCVISYN3A_0065,0.382
abaylyi,ACIAD2389,ccrescentus,CCNA_02171,0.338
abaylyi,ACIAD1706,ccrescentus,CCNA_02490,0.623
ccrescentus,CCNA_01685,styphimurium,yccV,0.311
ccrescentus,CCNA_01946,styphimurium,tyrS,0.41
ccrescentus,CCNA_01946,mpne,MPN669,0.394
ccrescentus,CCNA_01946,mtuberculosis,Rv1689,0.419
ccrescentus,CCNA_01946,mgenitalium,MG_455,0.357
ccrescentus,CCNA_01946,syn3a,JCVISYN3A_0613,0.344
ccrescentus,CCNA_03836,styphimurium,fabA,0.674
saureus,SA0211,styphimurium,STM4425,0.307
saureus,SA1540,styphimurium,yebR,0.5
ccrescentus,CCNA_02362,styphimurium,yebR,0.41
mtuberculosis,Rv0254c,styphimurium,cobU,0.388
saureus,SA0433,styphimurium,treC,0.548
ccrescentus,CCNA_02368,styphimurium,treC,0.351
mtuberculosis,Rv2471,styphimurium,treC,0.344
abaylyi,ACIAD0342,styphimurium,pgsA,0.478
abaylyi,ACIAD0342,saureus,pgsA,0.461
abaylyi,ACIAD0342,mtuberculosis,Rv2746c,0.366
abaylyi,ACIAD0342,syn3a,JCVISYN3A_0875,0.338
abaylyi,ACIAD0342,ccrescentus,CCNA_03002,0.34
abaylyi,ACIAD3219,styphimurium,rplC,0.676
mtuberculosis,Rv0701,styphimurium,rplC,0.511
saureus,rplC,styphimurium,rplC,0.462
styphimurium,rplC,syn3a,JCVISYN3A_0671,0.444
mgenitalium,MG_151,styphimurium,rplC,0.385
mpne,MPN165,styphimurium,rplC,0.38
abaylyi,ACIAD1910,styphimurium,nirB,0.604
mtuberculosis,Rv0252,styphimurium,nirB,0.501
saureus,nasD,styphimurium,nirB,0.355
ccrescentus,CCNA_00651,styphimurium,nirB,0.357
abaylyi,ACIAD0417,styphimurium,yhhP,0.418
abaylyi,ACIAD0456,mtuberculosis,Rv0505c,0.304
abaylyi,ACIAD0707,styphimurium,mutM,0.485
abaylyi,ACIAD0707,ccrescentus,CCNA_03822,0.381
abaylyi,ACIAD0707,mpne,MPN380,0.332
abaylyi,ACIAD0707,mtuberculosis,Rv2924c,0.329
abaylyi,ACIAD0707,mgenitalium,MG_498,0.306
abaylyi,ACIAD0879,styphimurium,fabB,0.545
abaylyi,ACIAD0879,ccrescentus,CCNA_03835,0.503
abaylyi,ACIAD0879,saureus,fab,0.417
abaylyi,ACIAD0879,mtuberculosis,Rv2245,0.363
abaylyi,ACIAD0258,styphimurium,prpR,0.399
abaylyi,ACIAD1018,saureus,bfmBAB,0.417
abaylyi,ACIAD1018,ccrescentus,CCNA_01800,0.423
abaylyi,ACIAD1018,mpne,MPN392,0.358
abaylyi,ACIAD1018,mgenitalium,MG_273,0.364
abaylyi,ACIAD1018,mtuberculosis,Rv2496c,0.369
abaylyi,ACIAD1052,styphimurium,yhgI,0.471
abaylyi,ACIAD1263,styphimurium,yhfA,0.474
ccrescentus,CCNA_00015,styphimurium,moaB,0.455
ccrescentus,CCNA_00015,saureus,moaB,0.416
ccrescentus,CCNA_00015,mtuberculosis,Rv0984,0.333
ccrescentus,CCNA_00077,mtuberculosis,Rv2724c,0.519
abaylyi,ACIAD3191,ccrescentus,CCNA_00077,0.506
ccrescentus,CCNA_00237,styphimurium,baeR,0.414
ccrescentus,CCNA_01391,mtuberculosis,Rv2578c,0.329
abaylyi,ACIAD0331,ccrescentus,CCNA_01919,0.315
ccrescentus,CCNA_02210,styphimurium,folA,0.433
ccrescentus,CCNA_02210,mtuberculosis,Rv2763c,0.433
ccrescentus,CCNA_02210,saureus,dfrA,0.34
abaylyi,ACIAD0514,ccrescentus,CCNA_02210,0.358
ccrescentus,CCNA_02210,mgenitalium,MG_228,0.316
ccrescentus,CCNA_00272,styphimurium,yigN,0.369
ccrescentus,CCNA_00369,styphimurium,yegH,0.351
abaylyi,ACIAD0230,ccrescentus,CCNA_00369,0.343
abaylyi,ACIAD1690,ccrescentus,CCNA_00752,0.372
ccrescentus,CCNA_01328,saureus,rpsM,0.598
abaylyi,ACIAD3197,ccrescentus,CCNA_01328,0.632
ccrescentus,CCNA_01328,styphimurium,rpsM,0.572
ccrescentus,CCNA_01328,mtuberculosis,Rv3460c,0.524
ccrescentus,CCNA_01328,syn3a,JCVISYN3A_0647,0.557
ccrescentus,CCNA_01328,mgenitalium,MG_175,0.545
ccrescentus,CCNA_01328,mpne,MPN189,0.545
ccrescentus,CCNA_00459,styphimurium,nhaA,0.476
abaylyi,ACIAD0121,styphimurium,stbC,0.377
abaylyi,ACIAD2775,styphimurium,entB,0.595
abaylyi,ACIAD1270,styphimurium,pyrB,0.342
saureus,pyrB,styphimurium,pyrB,0.337
ccrescentus,CCNA_02525,styphimurium,pyrB,0.349
abaylyi,ACIAD3095,styphimurium,prfC,0.668
ccrescentus,CCNA_01123,styphimurium,prfC,0.459
saureus,prfC,styphimurium,prfC,0.465
abaylyi,ACIAD0272,styphimurium,yadB,0.451
abaylyi,ACIAD0535,styphimurium,clpX,0.702
abaylyi,ACIAD0535,ccrescentus,CCNA_02039,0.673
abaylyi,ACIAD0535,mtuberculosis,Rv2457c,0.639
abaylyi,ACIAD0535,saureus,clpX,0.597
ccrescentus,CCNA_00018,saureus,moaA,0.352
ccrescentus,CCNA_00018,styphimurium,moaA,0.324
abaylyi,ACIAD1906,ccrescentus,CCNA_00018,0.36
ccrescentus,CCNA_00206,mtuberculosis,Rv2504c,0.526
abaylyi,ACIAD1276,ccrescentus,CCNA_00435,0.387
ccrescentus,CCNA_00435,saureus,SA2396,0.35
ccrescentus,CCNA_03489,mtuberculosis,Rv3553,0.463
abaylyi,ACIAD1570,mtuberculosis,Rv3553,0.319
abaylyi,ACIAD3131,styphimurium,trpH,0.339
ccrescentus,CCNA_02112,styphimurium,yedO,0.442
mgenitalium,MG_310,mpne,MPN445,0.578
mgenitalium,MG_410,mpne,MPN609,0.817
mpne,MPN609,saureus,pstB,0.534
mpne,MPN609,syn3a,JCVISYN3A_0427,0.54
ccrescentus,CCNA_00294,mpne,MPN609,0.527
mpne,MPN609,styphimurium,pstB,0.489
abaylyi,ACIAD1215,mpne,MPN609,0.491
mpne,MPN609,mtuberculosis,Rv0820,0.456
mpne,MPN379,syn3a,JCVISYN3A_0097,0.312
ccrescentus,CCNA_03007,mtuberculosis,Rv1595,0.435
ccrescentus,CCNA_03007,styphimurium,nadB,0.353
saureus,gapB,styphimurium,gapA,0.487
ccrescentus,CCNA_03358,saureus,gapB,0.472
abaylyi,ACIAD1255,saureus,gapB,0.412
saureus,rho,styphimurium,rho,0.52
abaylyi,ACIAD3038,saureus,rho,0.497
mtuberculosis,Rv1297,saureus,rho,0.528
ccrescentus,CCNA_03876,saureus,rho,0.486
ccrescentus,CCNA_02052,mtuberculosis,Rv0005,0.429
abaylyi,ACIAD3544,ccrescentus,CCNA_02052,0.443
ccrescentus,CCNA_02052,syn3a,JCVISYN3A_0006,0.419
ccrescentus,CCNA_02052,mgenitalium,MG_003,0.413
ccrescentus,CCNA_02052,mpne,MPN003,0.411
ccrescentus,CCNA_02596,saureus,rpsD,0.46
ccrescentus,CCNA_02596,syn3a,JCVISYN3A_0238,0.427
abaylyi,ACIAD3195,ccrescentus,CCNA_02596,0.476
ccrescentus,CCNA_02596,styphimurium,rpsD,0.431
ccrescentus,CCNA_02596,mtuberculosis,Rv3458c,0.42
ccrescentus,CCNA_02596,mpne,MPN446,0.398
ccrescentus,CCNA_02596,mgenitalium,MG_311,0.383
ccrescentus,CCNA_00342,styphimurium,sucA,0.454
abaylyi,ACIAD2876,ccrescentus,CCNA_00342,0.447
ccrescentus,CCNA_00342,mtuberculosis,Rv1248c,0.45
ccrescentus,CCNA_00342,saureus,odhA,0.396
ccrescentus,CCNA_00725,styphimurium,ogt,0.506
abaylyi,ACIAD0692,ccrescentus,CCNA_00725,0.42
ccrescentus,CCNA_00725,mtuberculosis,Rv1316c,0.427
mgenitalium,MG_113,saureus,asnS,0.371
saureus,asnS,styphimurium,asnS,0.374
mpne,MPN252,saureus,asnS,0.383
saureus,asnS,syn3a,JCVISYN3A_0076,0.352
mtuberculosis,Rv1629,saureus,polA,0.365
abaylyi,ACIAD3030,saureus,polA,0.381
saureus,polA,styphimurium,polA,0.383
saureus,polA,syn3a,JCVISYN3A_0611,0.361
ccrescentus,CCNA_03577,saureus,polA,0.339
ccrescentus,CCNA_03178,mtuberculosis,Rv3334,0.372
mtuberculosis,Rv3334,styphimurium,STM4320,0.377
mtuberculosis,Rv3366,styphimurium,yibK,0.493
abaylyi,ACIAD2933,mtuberculosis,Rv3366,0.432
mtuberculosis,Rv3366,saureus,SA1672,0.381
ccrescentus,CCNA_00504,mtuberculosis,Rv3366,0.372
mpne,MPN521,mtuberculosis,Rv3366,0.335
mgenitalium,MG_346,mtuberculosis,Rv3366,0.302
ccrescentus,CCNA_01633,saureus,bex,0.379
ccrescentus,CCNA_01633,styphimurium,era,0.359
abaylyi,ACIAD2580,ccrescentus,CCNA_01633,0.34
ccrescentus,CCNA_01633,mtuberculosis,Rv2364c,0.349
ccrescentus,CCNA_01730,saureus,purF,0.46
ccrescentus,CCNA_01730,mtuberculosis,Rv0808,0.448
ccrescentus,CCNA_01730,styphimurium,purF,0.42
abaylyi,ACIAD1323,ccrescentus,CCNA_01730,0.387
mtuberculosis,Rv3464,styphimurium,rffG,0.473
abaylyi,ACIAD0076,mtuberculosis,Rv3464,0.446
ccrescentus,CCNA_03744,mtuberculosis,Rv3464,0.442
ccrescentus,CCNA_00074,styphimurium,yfcX,0.363
mtuberculosis,Rv0860,styphimurium,yfcX,0.342
mtuberculosis,Rv2521,styphimurium,bcp,0.503
ccrescentus,CCNA_01947,styphimurium,bcp,0.38
saureus,SA1680,styphimurium,bcp,0.375
abaylyi,ACIAD0854,styphimurium,bcp,0.387
abaylyi,ACIAD2539,styphimurium,gabD,0.609
ccrescentus,CCNA_03242,styphimurium,gabD,0.606
styphimurium,gabD,syn3a,JCVISYN3A_0451,0.335
saureus,SA0320,styphimurium,STM2344,0.388
mpne,MPN494,saureus,SA0320,0.305
saureus,lysS,styphimurium,lysS,0.528
abaylyi,ACIAD1069,saureus,lysS,0.506
mpne,MPN277,saureus,lysS,0.466
mtuberculosis,Rv3598c,saureus,lysS,0.387
ccrescentus,CCNA_00757,saureus,lysS,0.335
abaylyi,ACIAD2647,styphimurium,serC,0.575
abaylyi,ACIAD2822,styphimurium,hpaX,0.378
ccrescentus,CCNA_01938,styphimurium,sufC,0.593
saureus,SA0774,styphimurium,sufC,0.52
mtuberculosis,Rv1463,styphimurium,sufC,0.497
abaylyi,ACIAD0930,saureus,glpK,0.5
abaylyi,ACIAD0930,styphimurium,glpK,0.496
abaylyi,ACIAD0930,mgenitalium,MG_038,0.462
abaylyi,ACIAD0930,mpne,MPN050,0.459
abaylyi,ACIAD0930,mtuberculosis,Rv3696c,0.473
abaylyi,ACIAD0930,syn3a,JCVISYN3A_0218,0.448
abaylyi,ACIAD0930,ccrescentus,CCNA_01281,0.449
abaylyi,ACIAD2042,styphimurium,yjeF,0.36
abaylyi,ACIAD2042,saureus,SA0007,0.344
abaylyi,ACIAD3441,styphimurium,kefB,0.415
mtuberculosis,Rv0783c,styphimurium,yieO,0.319
abaylyi,ACIAD1348,ccrescentus,CCNA_01341,0.484
abaylyi,ACIAD1348,mtuberculosis,Rv1223,0.391
abaylyi,ACIAD1348,saureus,SA1549,0.331
abaylyi,ACIAD2467,ccrescentus,CCNA_02701,0.511
abaylyi,ACIAD0509,ccrescentus,CCNA_03340,0.385
abaylyi,ACIAD3342,mtuberculosis,Rv1722,0.431
ccrescentus,CCNA_03509,mtuberculosis,Rv2782c,0.341
mtuberculosis,Rv3063,styphimurium,cstA,0.535
abaylyi,ACIAD2205,mtuberculosis,Rv3063,0.516
ccrescentus,CCNA_02014,mtuberculosis,Rv3279c,0.336
mtuberculosis,Rv3279c,styphimurium,birA,0.321
abaylyi,ACIAD2632,styphimurium,yfgE,0.301
abaylyi,ACIAD0692,mtuberculosis,Rv1316c,0.49
mtuberculosis,Rv1316c,styphimurium,ogt,0.522
mtuberculosis,Rv1316c,saureus,adaB,0.443
ccrescentus,CCNA_02054,mtuberculosis,Rv3280,0.562
abaylyi,ACIAD1592,mtuberculosis,Rv3406,0.546
abaylyi,ACIAD3062,styphimurium,folK,0.458
saureus,folK,styphimurium,folK,0.41
mtuberculosis,Rv3606c,styphimurium,folK,0.333
ccrescentus,CCNA_00452,styphimurium,nagA,0.397
mtuberculosis,Rv3332,styphimurium,nagA,0.321
abaylyi,ACIAD3139,styphimurium,yciA,0.508
ccrescentus,CCNA_00190,styphimurium,yciA,0.495
abaylyi,ACIAD0262,styphimurium,pbpG,0.446
saureus,SA0307,syn3a,JCVISYN3A_0494,0.488
styphimurium,nanE,syn3a,JCVISYN3A_0494,0.39
saureus,rplV,syn3a,JCVISYN3A_0666,0.594
styphimurium,rplV,syn3a,JCVISYN3A_0666,0.541
mtuberculosis,Rv0706,syn3a,JCVISYN3A_0666,0.466
abaylyi,ACIAD3214,syn3a,JCVISYN3A_0666,0.514
mpne,MPN170,syn3a,JCVISYN3A_0666,0.495
mgenitalium,MG_156,syn3a,JCVISYN3A_0666,0.458
ccrescentus,CCNA_01311,syn3a,JCVISYN3A_0666,0.407
mgenitalium,MG_049,syn3a,JCVISYN3A_0747,0.39
mpne,MPN062,syn3a,JCVISYN3A_0747,0.385
saureus,deoD,syn3a,JCVISYN3A_0747,0.365
styphimurium,deoD,syn3a,JCVISYN3A_0747,0.317
abaylyi,ACIAD2341,saureus,pyrF,0.493
saureus,pyrF,styphimurium,pyrF,0.435
ccrescentus,CCNA_00104,saureus,pyrF,0.364
mtuberculosis,Rv0634B,saureus,rpmG,0.551
mgenitalium,MG_325,saureus,rpmG,0.465
mpne,MPN471,saureus,rpmG,0.418
saureus,SA1329,styphimurium,fur,0.341
saureus,aroE,styphimurium,aroE,0.345
abaylyi,ACIAD0418,saureus,aroE,0.335
ccrescentus,CCNA_00003,saureus,aroE,0.333
